source,target,value
"China, mainland",Sweden,70368.0
"China, mainland",Switzerland,39592.0
"China, mainland",Syrian Arab Republic,15008.0
"China, mainland",Tajikistan,12692.0
"China, mainland",Thailand,2136532.0
"China, mainland",Timor-Leste,2983.0
"China, mainland",Togo,88507.0
"China, mainland",Tonga,625.0
"China, mainland",Trinidad and Tobago,11234.0
"China, mainland",Tunisia,29136.0
"China, mainland",Turkey,122404.0
"China, mainland",Turkmenistan,15912.0
"China, mainland",Turks and Caicos Islands,1.0
"China, mainland",Tuvalu,66.0
"China, mainland",Uganda,6697.0
"China, mainland",Ukraine,60008.0
"China, mainland",United Arab Emirates,479859.0
"China, mainland",United Kingdom,673702.0
"China, mainland",United Republic of Tanzania,12894.0
"China, mainland",United States of America,3920183.0
"China, mainland",Unspecified Area,97.0
"China, mainland",Uruguay,13011.0
"China, mainland",Uzbekistan,45753.0
"China, mainland",Vanuatu,778.0
"China, mainland",Venezuela (Bolivarian Republic of),18790.0
"China, mainland",Viet Nam,2899995.0
"China, mainland",Wallis and Futuna Islands,68.0
"China, mainland",Yemen,93948.0
"China, mainland",Zambia,544.0
"China, mainland",Zimbabwe,14943.0
Colombia,"China, mainland",9140.0
Costa Rica,"China, mainland",19015.0
Croatia,"China, mainland",6113.0
Cyprus,"China, mainland",3956.0
Czechia,"China, mainland",33160.0
Denmark,"China, mainland",850009.0
Ecuador,"China, mainland",114485.0
El Salvador,"China, mainland",397.0
Estonia,"China, mainland",7159.0
Ethiopia,"China, mainland",7657.0
Fiji,"China, mainland",3142.0
Finland,"China, mainland",46898.0
France,"China, mainland",2412631.0
Gambia,"China, mainland",16.0
Georgia,"China, mainland",15479.0
Germany,"China, mainland",1910136.0
Ghana,"China, mainland",34301.0
Greece,"China, mainland",38164.0
Guyana,"China, mainland",292.0
Honduras,"China, mainland",1150.0
Hungary,"China, mainland",81395.0
Iceland,"China, mainland",864.0
India,"China, mainland",810369.0
Indonesia,"China, mainland",4032961.0
Ireland,"China, mainland",798090.0
Israel,"China, mainland",62702.0
Italy,"China, mainland",399278.0
Jamaica,"China, mainland",564.0
Japan,"China, mainland",302119.0
Jordan,"China, mainland",569.0
Kazakhstan,"China, mainland",122863.0
Kuwait,"China, mainland",138.0
Kyrgyzstan,"China, mainland",14367.0
Latvia,"China, mainland",9881.0
Lebanon,"China, mainland",289.0
Lithuania,"China, mainland",12627.0
Luxembourg,"China, mainland",844.0
Madagascar,"China, mainland",3839.0
Malaysia,"China, mainland",2106458.0
Mali,"China, mainland",8518.0
Malta,"China, mainland",1893.0
Mauritania,"China, mainland",22.0
Mauritius,"China, mainland",3594.0
Mexico,"China, mainland",117825.0
Mongolia,"China, mainland",303642.0
Montenegro,"China, mainland",1481.0
Morocco,"China, mainland",5607.0
Namibia,"China, mainland",226.0
Netherlands,"China, mainland",2173312.0
New Zealand,"China, mainland",3607650.0
Niger,"China, mainland",15506.0
North Macedonia,"China, mainland",1778.0
Norway,"China, mainland",9190.0
Oman,"China, mainland",1472.0
Pakistan,"China, mainland",262907.0
Paraguay,"China, mainland",4315.0
Peru,"China, mainland",92816.0
Philippines,"China, mainland",284952.0
Poland,"China, mainland",112796.0
Portugal,"China, mainland",71232.0
Republic of Korea,"China, mainland",973288.0
Republic of Moldova,"China, mainland",10333.0
Romania,"China, mainland",21220.0
Russian Federation,"China, mainland",547749.0
Senegal,"China, mainland",71326.0
Serbia,"China, mainland",1642.0
Seychelles,"China, mainland",2.0
Singapore,"China, mainland",613546.0
Slovakia,"China, mainland",1245.0
Slovenia,"China, mainland",3935.0
South Africa,"China, mainland",169400.0
Spain,"China, mainland",1348312.0
Sri Lanka,"China, mainland",38573.0
Sweden,"China, mainland",48547.0
Switzerland,"China, mainland",137200.0
Thailand,"China, mainland",5277507.0
Togo,"China, mainland",7980.0
Tunisia,"China, mainland",1959.0
Turkey,"China, mainland",142692.0
United Arab Emirates,"China, mainland",19027.0
United Kingdom,"China, mainland",569878.0
United Republic of Tanzania,"China, mainland",137181.0
United States of America,"China, mainland",20905913.0
Uruguay,"China, mainland",777066.0
