,year,CTY_CODE,CTYNAME,I_1,I_2,I_3,I_4,I_5,I_6,I_7,I_8,I_9,I_10,I_11,I_12,IYR,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,EYR
73,2009,7,Advance Technology Products,20735.15593,20274.26457,23402.98445,23417.17723,22769.4236,25325.31026,26587.47051,24147.51672,26613.51539,29317.98927,29332.12948,28968.8901,300891.8275,18730.82242,18851.26451,20759.25304,18703.26088,19151.81394,20741.217419999997,19999.77032,18516.0161,20588.60206,23689.49619,20999.210909999998,23977.127930000002,244707.8557
74,2010,7,Advance Technology Products,24377.30332,23622.102069999997,28648.129060000003,26983.36961,27501.51702,31640.0888,30666.55958,30694.983330000003,32322.07671,32380.044380000003,33778.48616,31638.27265,354252.9327,21304.75851,19861.107519999998,23953.07047,21194.77506,21761.13839,23364.040409999998,23928.49125,21941.22155,22866.68488,23743.360480000003,23232.54838,26159.3719,273310.5688
75,2011,7,Advance Technology Products,28321.22578,27005.064639999997,32121.199080000002,30152.02515,31406.86297,33468.83567,32501.87596,33015.22954,32686.266089999997,36152.91974,35625.63682,34023.32299,386480.4644,21113.854030000002,20987.4056,25369.506540000002,23032.63091,23374.55129,24712.42148,23559.72126,23825.055640000002,24224.99659,25679.26041,24744.60008,26205.76026,286829.7641
76,2012,7,Advance Technology Products,29356.27639,29226.392239999997,35074.326389999995,30476.09701,33717.3642,33506.001860000004,33008.09233,32257.06475,32909.31698,36035.724089999996,37795.67603,32753.58491,396115.9172,22559.96973,23422.871619999998,28060.26934,23763.92074,25032.99961,26551.05569,24577.350980000003,25611.07516,25807.03759,26107.19941,26099.29605,27560.823760000003,305153.8697
77,2013,7,Advance Technology Products,31152.66718,27955.97614,31348.494789999997,32572.8703,34120.10389,32742.25501,0.0,0.0,0.0,0.0,0.0,0.0,189892.3673,24016.77889,22991.98558,27939.10457,24697.64487,26941.40683,29377.078610000004,0.0,0.0,0.0,0.0,0.0,0.0,155963.9993
84,2007,8,NICS,9544.10564,8276.271663,9330.092925,9060.782802,9832.208712,9245.819101000001,9775.775036,9273.260724,8827.995156,9704.738895,9842.538275,8545.964006999999,111259.5529,8014.782561,7582.621862999999,8909.648361,8601.931638,8382.069698000001,9589.34952,8668.040293,9135.861624,8683.243298000001,9458.228933,8893.779009,9831.042701999999,105750.5995
85,2008,8,NICS,9410.434498,8553.264128,8966.816487,9267.156541,9172.78262,8665.820882,9821.107223,8854.459855,9231.783747,9441.172835,8045.980525,7332.683258,106763.4626,8710.709986,9082.336866,10148.72942,9594.855393,9907.800307,10644.954940000001,9887.051264,9524.213695,9113.941536,8716.301361,7192.264025,6424.017763,108947.1766
86,2009,8,NICS,7550.4457840000005,5967.764072999999,7041.450272,6837.2143670000005,6889.752918000001,6987.38841,7404.131701,7211.026484999999,7725.978693999999,7876.997385,7671.684187999999,7689.707425,86853.5417,5896.401407,5941.762433,6853.435248000001,6556.416464,7130.638906,7380.1692969999995,7695.740220999999,7839.875206000001,8499.110282,9103.035372,8149.335711,9333.995652,90379.9162
87,2010,8,NICS,7293.354467,6601.446626,7970.050781999999,8411.839419,8903.540493999999,9451.587056,9414.540912,9440.10355,9767.800817,9880.144934,10211.5889,9099.994392,106445.9923,8724.49229,8877.076768,10736.89017,9568.389524,9759.906553,10039.00155,10424.74452,9941.165824,10459.389959999999,10276.80092,10272.755490000001,11369.12722,120449.7408
88,2011,8,NICS,9400.627132,8613.001092,9646.25073,10407.50329,11210.78932,10982.20547,10942.83349,10365.31624,10282.18881,10385.94415,10022.57145,9333.195095000001,121592.4263,10346.316659999999,10128.87695,12016.53599,11886.40808,11163.87909,11056.06798,11351.97555,11406.74457,12789.32144,11339.77927,11645.34896,11720.191209999999,136851.4457
